FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;;;;
180401;0000;;;;
180701;0000;;;;
181001;0000;;;;
190101;0000;;;;
190401;0000;;;;
190701;0000;;;;
191001;0000;;;11;
200101;0000;;;14,8889;
200401;0000;;;65,3607;
200701;0000;;;52,6;
201001;0000;;;20,6923;
210101;0000;;;19,75;
210401;0000;;;47,6744;
210701;0000;;;18,587;
211001;0000;;;9,75309;
220101;0000;;;10,5412;
220401;0000;;;47,1236;
220701;0000;;;43,359;
221001;0000;;;11,9865;
230101;0000;;;16,2651;
230401;0000;;;51,0333;
230701;0000;;;44,3448;
231001;0000;;;9,83117;
240101;0000;;;8,33333;
240401;0000;;;48,8415;
240701;0000;;;55,9889;
241001;0000;;;12,2676;
250101;0000;;;10,3194;
250401;0000;;;72,3929;
250701;0000;;;;
251001;0000;;;;
